Nom de la manifestation,Région,Domaine,Complément domaine,Département,Périodicité,Mois habituel de début,Site web,N° Identification,Commune principale,Autres communes,N° de l'édition 2018,Date de début,Date de fin,Date de création,Soutenu en 2017 par le ministère de la culture ,Soutenu en 2017 par le Centre national du cinéma ,Soutenu en 2017 par le Centre national du livre ,Soutenu en 2017 par le Centre national des variétés ,Soutenu en 2018 par le ministère de la culture ,Soutenu en 2018 par le Centre national du cinéma ,Soutenu en 2018 par le Centre national du livre ,Soutenu en 2018 par le Centre national des variétés ,Code postal,Code INSEE,coordonnees_insee,Libellé commune pour calcul CP,,,,,,,,,
Festival international du cirque de Massy,Île-de-France,Cirque et Arts de la rue,Cirque,91,Annuelle,01 (janvier),https://www.cirque-massy.com/,HM024,MASSY,,26,1/10/2019,1/13/2019,1/1/1993,,,,,,,,,91300,91377,48.72778964,,,,,,,,,,
Biennale Internationale des Arts du Cirque Provence Alpes Côte d’Azur (BIAC),Provence-Alpes-Côte d'Azur,Cirque et Arts de la rue,Cirque,13,Biennale années impaires,01 (janvier),http://www.biennale-cirque.com/fr/,MM009,MARSEILLE,Aix En Provence,,,,,,,,,,,,,,,,,,,,,,,,,
OFF PARIS,Île-de-France,Musiques actuelles,,75,Annuelle,01 (janvier),http://www.pointephemere.org/event/OFFF-dhiver-ByinrIe6m,HD243,PARIS,,,1/18/2019,1/19/2019,1/1/2019,,,,,,,,,75001,75101,48.86263049,,,,,,,,,,
Art Danse,Bourgogne-Franche-Comté,Danse,Danse contemporaine,21,,01 (janvier),https://art-danse.org/,BF001,DIJON,,,1/21/2019,2/6/2019,,,,,,,,,,21000,21231,47.3229438,,,,,,,,,,
Festival ICI&LA,Occitanie,Danse,Danse contemporaine,31,,01 (janvier),http://laplacedeladanse.com/icietla2019,KF006,TOULOUSE,,,1/22/2019,2/9/2019,,,,,,,,,,31300,31555,43.59638143,,,,,,,,,,
DU BLEU EN HIVER - JAZZ(S) EN TÊTE,Nouvelle-Aquitaine,Musiques actuelles,Jazz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FESTIVAL D'HUMOUR DE BOURG LA REINE,Île-de-France,Divers Spectacle vivant,Humour,92,Annuelle,01 (janvier),http://caelmjc.com,HH019,BOURG LA REINE,,23,1/26/2019,2/2/2019,1/1/1996,,,,,,,,,92340,92014,48.77990736,,,,,,,,,,
Salon Livre à part,Île-de-France,Livre et littérature,,94,Annuelle,01 (janvier),https://www.mairie-saint-mande.fr/,HK030,ST MANDE,,9,1/26/2019,1/27/2019,1/1/2010,,,,,,,,,94160,94067,48.84244024,,,,,,,,,,
Festival Avec ou sans fils,Centre-Val de Loire,Divers Spectacle vivant,Marionnettes,41,Biennale années impaires,01 (janvier),,DH002,VENDOME,,,1/29/2019,2/9/2019,,,,,,,,,,41100,41269,47.80130267,,,,,,,,,,
Festival international du cinéma fantastique de Gérardmer,Grand Est,Cinéma et audiovisuel,,88,Annuelle,01 (janvier),www.festival-gerardmer.com,FJ029,GERARDMER,,25,1/30/2019,2/3/2019,1/1/1994,,,,,,,,,88400,88196,48.06530577,,,,,,,,,,
NUITS DE L'ALLIGATOR,Île-de-France,Musiques actuelles,,75,Annuelle,01 (janvier),www.nuitsdelalligator.com,HD222,PARIS,La Rochelle (17)  /  Cenon (33)  /  Rouen (76) / Nantes (44)  /  Orleans (45)  /  Clermont Ferrand (63) /  Saint Ave (56)  /  Dijon (21)  /  Joue Les Tours (37)  / Nancy (54),13,1/31/2019,2/23/2019,1/1/2006,,,,,,,,,75001,75101,48.86263049,,,,,,,,,,
